v1	V(n001)	I(D1)
-1.000000000000000e-01	-1.000000e-01	-2.242756e-09
-9.990000000000000e-02	-9.990000e-02	-2.242143e-09
-9.980000000000000e-02	-9.980000e-02	-2.241529e-09
-9.970000000000000e-02	-9.970000e-02	-2.240913e-09
-9.959999999999999e-02	-9.960000e-02	-2.240297e-09
-9.949999999999999e-02	-9.950000e-02	-2.239678e-09
-9.939999999999999e-02	-9.940000e-02	-2.239059e-09
-9.929999999999999e-02	-9.930000e-02	-2.238438e-09
-9.919999999999998e-02	-9.920000e-02	-2.237815e-09
-9.909999999999998e-02	-9.910000e-02	-2.237192e-09
-9.899999999999998e-02	-9.900000e-02	-2.236567e-09
-9.889999999999997e-02	-9.890000e-02	-2.235940e-09
-9.879999999999997e-02	-9.880000e-02	-2.235312e-09
-9.869999999999997e-02	-9.870000e-02	-2.234683e-09
-9.859999999999997e-02	-9.860000e-02	-2.234052e-09
-9.849999999999996e-02	-9.850000e-02	-2.233420e-09
-9.839999999999996e-02	-9.840000e-02	-2.232787e-09
-9.829999999999996e-02	-9.830000e-02	-2.232152e-09
-9.819999999999995e-02	-9.820000e-02	-2.231516e-09
-9.809999999999995e-02	-9.810000e-02	-2.230878e-09
-9.799999999999995e-02	-9.800000e-02	-2.230239e-09
-9.789999999999995e-02	-9.790000e-02	-2.229599e-09
-9.779999999999994e-02	-9.780000e-02	-2.228957e-09
-9.769999999999994e-02	-9.770000e-02	-2.228314e-09
-9.759999999999994e-02	-9.760000e-02	-2.227669e-09
-9.749999999999993e-02	-9.750000e-02	-2.227023e-09
-9.739999999999993e-02	-9.740000e-02	-2.226375e-09
-9.729999999999993e-02	-9.730000e-02	-2.225726e-09
-9.719999999999993e-02	-9.720000e-02	-2.225076e-09
-9.709999999999992e-02	-9.710000e-02	-2.224424e-09
-9.699999999999992e-02	-9.700000e-02	-2.223771e-09
-9.689999999999992e-02	-9.690000e-02	-2.223116e-09
-9.679999999999991e-02	-9.680000e-02	-2.222460e-09
-9.669999999999991e-02	-9.670000e-02	-2.221802e-09
-9.659999999999991e-02	-9.660000e-02	-2.221143e-09
-9.649999999999991e-02	-9.650000e-02	-2.220482e-09
-9.639999999999990e-02	-9.640000e-02	-2.219820e-09
-9.629999999999990e-02	-9.630000e-02	-2.219157e-09
-9.619999999999990e-02	-9.620000e-02	-2.218492e-09
-9.609999999999989e-02	-9.610000e-02	-2.217826e-09
-9.599999999999989e-02	-9.600000e-02	-2.217158e-09
-9.589999999999989e-02	-9.590000e-02	-2.216488e-09
